customer_id,NUMBER_OF_LOANS,SHORT_TERM_COUNT,MID_TERM_COUNT,LONG_TERM_COUNT,OUTSTANDING_BAL_ALL_CURRENT,NUM_NEW_LOAN_TAKEN_3M,NUM_NEW_LOAN_TAKEN_6M,NUM_NEW_LOAN_TAKEN_9M,NUM_NEW_LOAN_TAKEN_12M,NUM_NEW_LOAN_TAKEN_BANK_3M,NUM_NEW_LOAN_TAKEN_BANK_6M,NUM_NEW_LOAN_TAKEN_BANK_9M,NUM_NEW_LOAN_TAKEN_BANK_12M,NUM_NEW_LOAN_TAKEN_NON_BANK_3M,NUM_NEW_LOAN_TAKEN_NON_BANK_6M,NUM_NEW_LOAN_TAKEN_NON_BANK_9M,NUM_NEW_LOAN_TAKEN_NON_BANK_12M,ENQUIRIES_3M,ENQUIRIES_12M,CREDIT_CARD_MONTH_SINCE_10DPD,CREDIT_CARD_MONTH_SINCE_30DPD,CREDIT_CARD_MONTH_SINCE_60DPD,CREDIT_CARD_MONTH_SINCE_90DPD,CREDIT_CARD_MONTH_SINCE_10DPD_FLAG,CREDIT_CARD_MONTH_SINCE_30DPD_FLAG,CREDIT_CARD_MONTH_SINCE_60DPD_FLAG,CREDIT_CARD_MONTH_SINCE_90DPD_FLAG,CREDIT_CARD_NUMBER_OF_LATE_PAYMENT
1639,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,7.0,17.0,,,,,0.0,0.0,0.0,0.0,1.0
23717,,10.0,1.0,,,7.0,10.0,10.0,13.0,7.0,10.0,10.0,,7.0,10.0,10.0,13.0,12.0,22.0,,,,,0.0,0.0,0.0,0.0,1.0
19474,13.0,7.0,7.0,,620.0,7.0,10.0,13.0,13.0,7.0,,13.0,13.0,7.0,10.0,13.0,13.0,37.0,47.0,,,,,0.0,0.0,0.0,0.0,1.0
15505,7.0,7.0,1.0,1.0,170.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,27.0,72.0,,,,,,0.0,0.0,0.0,1.0
1538,,,,1.0,270.0,1.0,4.0,4.0,4.0,1.0,4.0,,4.0,1.0,4.0,4.0,4.0,7.0,17.0,,,,,0.0,0.0,0.0,0.0,1.0
8455,4.0,,,1.0,,4.0,4.0,4.0,,4.0,4.0,,4.0,4.0,4.0,,4.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
20339,13.0,4.0,10.0,,2740.0,4.0,,,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,17.0,97.0,,,,,0.0,0.0,0.0,0.0,1.0
6629,19.0,19.0,1.0,,450.0,7.0,16.0,19.0,22.0,7.0,16.0,,22.0,7.0,16.0,19.0,22.0,12.0,17.0,,,,,0.0,0.0,0.0,0.0,1.0
9850,7.0,4.0,4.0,,310.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,0.0,0.0,,0.0,1.0
22474,10.0,7.0,4.0,,310.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,12.0,,,,,,0.0,0.0,0.0,,1.0
10689,,,4.0,1.0,,1.0,,4.0,4.0,,1.0,4.0,,,1.0,4.0,4.0,7.0,32.0,,,,,0.0,0.0,0.0,0.0,1.0
14182,4.0,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,,,,,0.0,0.0,0.0,0.0,
9406,7.0,4.0,4.0,1.0,190.0,4.0,7.0,7.0,7.0,4.0,7.0,,7.0,4.0,7.0,7.0,7.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
18296,4.0,4.0,1.0,1.0,50.0,4.0,,4.0,4.0,4.0,,4.0,4.0,,4.0,4.0,4.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
25038,4.0,4.0,1.0,1.0,400.0,1.0,1.0,4.0,,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,7.0,,,,,,0.0,0.0,0.0,0.0,1.0
7465,22.0,10.0,13.0,1.0,970.0,,16.0,19.0,22.0,10.0,16.0,19.0,,,16.0,19.0,22.0,17.0,27.0,,,,,0.0,0.0,0.0,0.0,1.0
2000,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,12.0,12.0,,,,,0.0,0.0,,0.0,1.0
1111,1.0,1.0,1.0,1.0,830.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
12167,4.0,4.0,1.0,1.0,20.0,,4.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,,27.0,,,,,0.0,0.0,0.0,0.0,1.0
21667,16.0,13.0,4.0,,840.0,10.0,,16.0,16.0,10.0,13.0,16.0,16.0,,13.0,16.0,16.0,37.0,57.0,,,,,0.0,0.0,0.0,0.0,1.0
20085,13.0,10.0,4.0,,440.0,,13.0,16.0,16.0,,13.0,16.0,16.0,7.0,13.0,16.0,16.0,17.0,27.0,,,,,0.0,0.0,,0.0,1.0
18984,13.0,10.0,4.0,1.0,410.0,10.0,13.0,13.0,13.0,10.0,13.0,13.0,13.0,10.0,,13.0,,12.0,12.0,,,,,0.0,0.0,0.0,0.0,1.0
3470,7.0,,,1.0,3100.0,1.0,1.0,4.0,4.0,,1.0,4.0,,,1.0,4.0,4.0,52.0,112.0,,,,,0.0,0.0,0.0,0.0,1.0
646,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,0.0,0.0,0.0,1.0
12099,10.0,7.0,4.0,,680.0,1.0,7.0,,,1.0,,10.0,10.0,1.0,7.0,10.0,10.0,12.0,37.0,,,,,0.0,0.0,0.0,0.0,1.0
8738,7.0,7.0,1.0,1.0,70.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
9148,10.0,10.0,1.0,,300.0,1.0,10.0,10.0,10.0,1.0,,10.0,10.0,1.0,10.0,10.0,10.0,12.0,12.0,,,,,0.0,0.0,0.0,0.0,1.0
22259,13.0,10.0,4.0,1.0,890.0,7.0,7.0,7.0,,7.0,7.0,7.0,13.0,7.0,,,,,22.0,,,,,0.0,0.0,,0.0,1.0
21075,7.0,7.0,,1.0,20.0,4.0,7.0,,7.0,4.0,7.0,7.0,7.0,4.0,7.0,,7.0,7.0,7.0,,,,,0.0,0.0,,0.0,1.0
23449,13.0,10.0,4.0,1.0,280.0,4.0,4.0,7.0,7.0,,4.0,7.0,7.0,4.0,4.0,7.0,,37.0,37.0,,,,,0.0,0.0,,,7.0
189,7.0,7.0,1.0,1.0,70.0,4.0,4.0,7.0,,4.0,4.0,,7.0,4.0,4.0,,7.0,7.0,,,,,,0.0,0.0,0.0,,1.0
21319,10.0,7.0,4.0,,,1.0,,4.0,4.0,1.0,,4.0,4.0,1.0,,4.0,4.0,22.0,42.0,,,,,0.0,0.0,0.0,0.0,1.0
